player_id,player_display_name,team,position,opponent,week,baseline,projected_points,injury_status
00-0039915,Ladd McConkey,LAC,WR,DEN,3,12.451764705882354,12.040053130929792,QUESTIONABLE
00-0039916,Ricky Pearsall,SF,WR,ARI,3,11.300000000000002,13.091596774193551,ACTIVE
00-0039917,Michael Penix Jr.,ATL,QB,CAR,3,13.492,12.902269032258065,ACTIVE
00-0039918,Caleb Williams,CHI,QB,DAL,3,19.51364705882353,25.482777273244785,ACTIVE
00-0039919,Rome Odunze,CHI,WR,DAL,3,20.681176470588234,26.776286100569262,ACTIVE
00-0039921,Trey Benson,ARI,RB,SF,3,7.543333333333335,7.068833333333334,ACTIVE
00-0039923,J.J. McCarthy,MIN,QB,CIN,3,12.520000000000001,0.0,OUT
00-0040009,Savion Williams,GB,WR,CLE,3,1.75,1.5378830645161288,ACTIVE
00-0040075,LaJohntay Wester,BAL,WR,DET,3,0.0,0.0,ACTIVE
00-0040078,Brashard Smith,KC,RB,NYG,3,0.10000000000000002,0.11500000000000002,ACTIVE
00-0040122,Ashton Jeanty,LV,RB,WAS,3,9.700000000000001,8.808225806451613,ACTIVE
00-0040124,Tetairoa McMillan,CAR,WR,ATL,3,13.9,15.068048387096773,ACTIVE
00-0040126,Colston Loveland,CHI,TE,DAL,3,1.6000000000000003,1.74963870967742,ACTIVE
00-0040128,Tyler Warren,IND,TE,TEN,3,13.4,14.811322580645161,QUESTIONABLE
00-0040129,Emeka Egbuka,TB,WR,NYJ,3,18.250000000000004,20.172137096774197,QUESTIONABLE
00-0040130,Jayden Higgins,HOU,WR,JAX,3,4.5,5.357177419354838,ACTIVE
00-0040134,Pat Bryant,DEN,WR,LAC,3,3.799999999999999,3.7957096774193535,ACTIVE
00-0040138,Jaylin Noel,HOU,WR,JAX,3,0.85,1.0119112903225804,ACTIVE
00-0040142,Kaleb Johnson,PIT,RB,NE,3,-0.05000000000000001,-0.050241935483870966,ACTIVE
00-0040162,Dylan Sampson,CLE,RB,GB,3,14.100000000000001,11.277725806451613,ACTIVE
00-0040164,Jaylin Lane,WAS,WR,LV,3,1.6500000000000001,2.0169919354838712,ACTIVE
00-0040170,Elic Ayomanor,TEN,WR,IND,3,9.45,10.344701612903226,ACTIVE
00-0040179,DJ Giddens,IND,RB,TEN,3,2.05,2.178951612903225,ACTIVE
00-0040184,KeAndre Lambert-Smith,LAC,WR,DEN,3,0.0,0.0,ACTIVE
00-0040187,Mitchell Evans,CAR,TE,ATL,3,1.8999999999999995,1.7764999999999993,ACTIVE
00-0040194,Jackson Hawes,BUF,TE,MIA,3,2.6999999999999997,2.538010887096774,ACTIVE
00-0040198,Ollie Gordon II,MIA,RB,BUF,3,1.8,1.6598467741935483,ACTIVE
00-0040208,Tahj Brooks,CIN,RB,MIN,3,0.0,0.0,ACTIVE
00-0040236,Kyle Monangai,CHI,RB,DAL,3,3.35,3.602600806451613,ACTIVE
00-0040238,LeQuint Allen Jr.,JAX,RB,HOU,3,1.7000000000000002,1.8233870967741936,ACTIVE
00-0040242,Jacory Croskey-Merritt,WAS,RB,LV,3,7.949999999999999,9.600907258064515,ACTIVE
00-0040432,Beaux Collins,NYG,WR,KC,3,0.0,0.0,ACTIVE
00-0040506,Myles Price,MIN,WR,CIN,3,0.0,0.0,ACTIVE
00-0040509,Ben Yurosek,MIN,TE,CIN,3,0.0,0.0,ACTIVE
00-0040581,Dont'e Thornton Jr.,LV,WR,WAS,3,4.75,4.694072580645161,ACTIVE
00-0040582,Arian Smith,NYJ,WR,TB,3,0.4000000000000001,0.3910322580645162,ACTIVE
00-0040583,Woody Marks,HOU,RB,JAX,3,3.1999999999999993,2.936774193548386,ACTIVE
00-0040584,Gunnar Helm,TEN,TE,IND,3,2.75,2.9225403225806454,ACTIVE
00-0040644,Trevor Etienne,CAR,RB,ATL,3,0.7999999999999999,0.7187096774193547,ACTIVE
00-0040648,Tory Horton,SEA,WR,NO,3,5.599999999999999,4.281312903225805,QUESTIONABLE
00-0040649,Robbie Ouzts,SEA,RB,NO,3,0.0,0.0,ACTIVE
00-0040663,Harold Fannin Jr.,CLE,TE,GB,3,11.700000000000001,14.952411290322578,ACTIVE
00-0040666,Omarion Hampton,LAC,RB,DEN,3,5.8,5.715806451612902,ACTIVE
00-0040667,Matthew Golden,GB,WR,CLE,3,2.5500000000000003,2.2409153225806446,ACTIVE
00-0040669,Isaac TeSlaa,DET,WR,BAL,3,6.1000000000000005,7.147773387096776,ACTIVE
00-0040676,Cam Ward,TEN,QB,IND,3,8.14,8.21746129032258,ACTIVE
00-0040691,Jaxson Dart,NYG,QB,KC,3,-0.29999999999999993,-0.35395161290322574,ACTIVE
00-0040704,Dillon Gabriel,CLE,QB,GB,3,4.759999999999999,4.460580645161289,ACTIVE
00-0040705,Chimere Dike,TEN,WR,IND,3,1.8499999999999996,2.0251532258064513,ACTIVE
00-0040715,Cam Skattebo,NYG,RB,KC,3,8.4,7.79032258064516,ACTIVE
00-0040718,Travis Hunter,JAX,WR,HOU,3,7.25,8.476653225806452,ACTIVE
00-0040719,Bhayshul Tuten,JAX,RB,HOU,3,8.25,8.848790322580644,QUESTIONABLE
00-0040727,Tre Harris,LAC,WR,DEN,3,3.7500000000000004,3.6260080645161294,ACTIVE
00-0040730,RJ Harvey,DEN,RB,LAC,3,5.650000000000001,4.85717741935484,ACTIVE
00-0040734,TreVeyon Henderson,NE,RB,PIT,3,8.549999999999999,9.584274193548385,ACTIVE
00-0040735,Luther Burden III,CHI,WR,DAL,3,1.0999999999999999,1.4241895161290323,ACTIVE
00-0040736,Mason Taylor,NYJ,TE,TB,3,2.25,2.3193145161290323,ACTIVE
00-0040739,Elijah Arroyo,SEA,TE,NO,3,3.4,2.9979088709677413,ACTIVE
00-0040782,Isaiah Bond,CLE,WR,GB,3,2.0,2.199838709677419,ACTIVE
00-0040784,Quinshon Judkins,CLE,RB,GB,3,10.099999999999998,8.078370967741934,ACTIVE
00-0023459,Aaron Rodgers,PIT,QB,NE,3,14.809882352941173,17.000311726755218,ACTIVE
00-0026158,Joe Flacco,CLE,QB,GB,3,12.990685714285714,12.173529677419353,ACTIVE
00-0026498,Matthew Stafford,LA,QB,PHI,3,15.168347222222224,15.474160674283155,ACTIVE
